contradiction,t,h
NO,"U.S. policy on drug trafficking is not consistent with the need to put an end and actively repress the consumption of drugs. The solution is not based on the destruction of a native plant, coca, in the continent, but on an active fight against the Colombian drug mafia, which has created a great money and crime empire in Colombia with powerful ramifications outside its borders.",No native plant is destroyed by the Colombian drug mafia.
YES,"But Rajeev Dhawan, director of the Economic Forecasting Center at Georgia State University, says the main issue ahead is higher inflation.",The Economic Forecasting Center is not located in Georgia.
YES,"""No, we don't get any business from beach traffic,"" said Butler, whose Men's Shop is located in a small strip mall behind Krispy Kreme on Palmetto.",No Men's Shop is owned by Butler.
NO,"Mr. Olsen paid $20 million for the space trip, but says that in the future space travel will likely become as routine as air travel is today.",Air travel never costs $20 million.
YES,"A member of the Burmese delegation, Thaung Tun, told reporters on the eve of the meeting that his government did not wish to place ASEAN in a difficult position by insisting on assuming the chairmanship.",Thaung Tun is not a representative of Burma.
YES,"""I think we've already seen the effect on oil and gas prices,"" said economist Kathleen Camilli of New York-based Camilli Economics.",Kathleen Camilli does not work for Camilli Economics.
NO,"Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.",Microsoft Corp. did not invent the next generation HD DVD format.
YES,"Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.","Valero Energy Corp. never produces 250,000 barrels per day."
NO,"As a result of these weaknesses, computer systems and the operations that rely on the systems were highly vulnerable to tampering, disruption, and misuse from both internal and external sources.",Non-authorized personnel have never illegally entered into computer networks.
YES,Ocean colour satellite remote sensing has developed rapidly within the last five years and satellite imagery is now processed automatically and made available via the WWW.,Ocean remote sensing is not developed.
YES,US military forces are evacuating U.S. citizens and citizens of 72 other countries from Liberia at the request of the U.S.,U.S. Military did not evacuate U.S. citizens.
NO,"US troops evacuated two injured soldiers said Staff Sgt. Duane Brown, a spokesman for the 42nd Infantry Division.",U.S. Military never evacuated U.S. citizens.
NO,The introduction of the euro has dismantled barriers to cross-border trading and enhanced risk sharing and opportunities for diversification.,The introduction of the euro has never been opposed.
YES,Only a few Mag-lev trains have been used commercially such as at the Birmingham airport in the UK.,Maglev is not commercially used.
NO,A new report indicates that women's participation in decision-making in the country is minimal.,Women are not poorly represented in parliament.
NO,The ivory ban was imposed by CITES in 1989 after a wave of poaching across Africa saw elephant numbers fall from an estimated 1.3 million to a few hundred thousand.,The ban on ivory trade has not been effective in protecting the elephant from extinction.
NO,"Humic acids are complex organic molecules formed by the breakdown of organic matter in the soil. They are not considered to be fertilizers, but soil enhancers and improvers.",Organic fertilizers are never used as soil enhancers.
NO,"A massive polio immunization drive is under way in more than 20 nations of West and Central Africa, but in Cote d'Ivoire violence has forced a postponement of the vaccination campaign, the Global Polio Eradication Initiative (GPEI) announced November 18.",Polio is not under control in the world.
YES,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people is a reminder of the dangers inherent in this sort of travel.,100 or more people did not lose their lives in a ferry sinking.
NO,Meteorological observations suggest Claudette remained a tropical storm as she affected parts of west Texas.,A tropical storm has not caused significant property damage.
YES,The ivory ban has been successful. Demand for ivory has dropped and elephant populations expanded dramatically in areas where they were virtually extinct.,The ban on ivory trade has not been effective in protecting the elephant from extinction.
YES,"The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions.","Humans did not exist 10,000 years ago."
YES,Public health and animal health officials from the Departments of Health and Community Services and Forest Resources and Agrifoods today confirmed a rabies case involving a red fox in western Newfoundland.,No case of rabies was confirmed.
NO,"Lt. Mark Banks, of Savannah, Ga., tends to a patient who was medically evacuated by U.S. Navy helicopter to a temporary triage site in Aceh, Sumatra, Indonesia.",U.S. Military does not evacuate U.S. citizens.
NO,Women are poorly trained for politics.,Women are not poorly represented in parliament.
YES,Hydroponics is the growth of plants in a substance other than soil with water.,Plants are never grown in substances other than soil.
NO,"Security forces gunned down six Maoists; while the rebels killed a policeman and an abducted civilian drowned escaping from the Maoists, say latest insurgency related reports.",No civilian policeman was killed.
NO,Women are poorly represented in transactions financed by mortgage bonds.,Women are not poorly represented in parliament.
NO,"Some other objections to legalization point to the greater dangers of family violence, reckless driving, or reckless operation of subways and so on.",Drug legalization has no benefits.
NO,"They, too, have not produced a practical, commercially acceptable maglev.",Maglev will never be commercially used.
NO,"20 million years ago there were apes, and by 5 million years ago our closest ancestors and cousins, early ape-humans, had split from the other apes.","Humans did not exist 10,000 years ago."
NO,"INS predicts that the smuggling will continue to increase and that alien smuggling organizations will become more sophisticated, organized, and complex.",No steps are being taken to stop the smuggling of aliens.
YES,World Bank programs have been heavily criticized for many years for resulting in poverty.,The World Bank is never criticized for its activities.
NO,Primary prevention of Alzheimer's disease is not possible at present.,Alzheimer's disease is not treated using drugs.
YES,"The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.",Maglev is not commercially used.
NO,Actual statistics about the deterrent value of capital punishment are not available because it is impossible to know who may have been deterred from committing a crime.,Capital punishment is not a deterrent to crime.
NO,"After the polio cases were identified, public health officials in the Dominican Republic and Haiti began giving the vaccines to large numbers of children. Public health officials now say the disease is under control and is not a public health threat.",Polio is not under control in the world.
NO,"Perhaps there is no expansion, at least not due to a big bang which never happened. About 20 years ago, Halton Arp and John Bahcall published a debate in The Redshift Controversy, presenting both sides of the argument.",We never estimated that the Big Bang happened 20 years ago.
YES,"The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur.",Doctors Without Borders is not an international aid organization.
YES,"In support of the Earth Island Institute rebuttal, Greenpeace founder Don White made the following - unfortunately prophetic - public statement on 8/18/93.",Don White is not the founder of Greenpeace.
YES,"German automaker, Volkswagen AG, launched a special collector's edition of its original Beetle, on Thursday, to mark the end of the line for the most popular car in history.",Volkswagen AG does not produce the 'Beetle'.
NO,"Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.",Jacques Delors will never succeed Jacques Santer in the presidency of the European Commission.
YES,"Vatican spokesman Joaquin Navarro-Valls announced that Pope John Paul was still in serious condition, but he was not in a coma.",Joaquin Navarro-Valls is not the Vatican Spokesman.
NO,"Released in 1995, Tyson returned to boxing, winning the World Boxing Council title in 1996. The same year, however, he lost to Evander Holyfield, and in a 1997 rematch bit Holyfield's ear, for which he was temporarily banned from boxing.",In 1996 Mike Tyson never bit Holyfield's ear.
NO,"When Adolf Hitler heard of how Mussolini was executed and put on public display, he vowed he would not let this happen to him. Hitler shot his mistress and new wife, Eva Braunn, and then swallowing some poison, he shot himself in the mouth.",Mussolini's mistress was never Eva Braunn.
YES,"Meanwhile, the inquiries spearheaded by Milan magistrates Antonio di Pietro and Gherardo Colombo began to focus on Italy's private and public business sectors.",Antonio di Pietro is not a magistrate.
YES,"Sabena was the former national airline of Belgium, mainly operating from Brussels National Airport, now replaced by SN Brussels Airlines.",Sabena is not a national airline.
NO,"Last week, LTTE leader Vilupillai Prabhakaran stated that the rebels are running out of patience and are prepared to go back to war.",Vilupillai Prabhakaran was never a rebel.
YES,"The abode of the Greek gods was on the summit of Mount Olympus, in Thessaly.",Mount Olympus is not in Thessaly.
YES,"On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and hanged in a spectacle that was photographed repeatedly.",Mussolini's mistress was not Clara Petacci.
YES,"The Sears Tower in Chicago, finished in 1974, has 110 stories and is 1,450 feet tall.",The Sears Tower does not have 110 stories.
NO,"Nine months later, John Glenn becomes the first American man to orbit the Earth.",John Glenn was not the first man in orbit.
NO,"If no settlement is reached, a divided Cyprus will join the European Union on May 1, 2004.","Cyprus will not be divided into two parts on May 1, 2004."
YES,"Paul Watson, the founder of Greenpeace, will speak on campus Wednesday, March 3.",Paul Watson is not the founder of Greenpeace.
YES,"In the last few days of the war, Mussolini and his mistress, Clara Petacci, tried to escape to Switzerland.",Mussolini's mistress was not Clara Petacci.
NO,"When the last member of the Hasmonean Dynasty died in 37 B.C., Rome made Herod king of Judah.  With Roman backing, Herod (37-34 B.C.) ruled on both sides of the Jordan River.  After his death the Jewish kingdom was divided among his heirs and gradually absorbed into the Roman Empire.",The Hasmonean Dynasty never ruled Jordan.
NO,"For many years, Sudam was controlled by Jader Barbalho, who was the governor of the state of Para and its senator.",Jader Barbalho was never the governor of Sudam.
YES,"Like the corporate logos, the ear is a representation, in mouth-watering chocolate, a delicious reminder of the infamous boxing incident in 1997, when an enraged Mike Tyson bit Holyfield's ear.",Mike Tyson did not bite Holyfield's ear in 1997.
NO,IKEA offers fantastic and affordable solutions for your home furnishing needs.,Ikea was never a home.
NO,The common binding of Catholic faith did little to prevent the Bavarians from slaughtering fellow believers in the 19th century under Prussian Protestant officers.,19 Bavarians are not Catholic.
NO,Today about 75% of people live in cities or towns. Art and culture are an important part of France.,75 people have never lived in France.
YES,"In other words, with its 2 million inhabitants, Slovenia has only 5.5 thousand professional soldiers.",Slovenia has never had 2 million inhabitants.
YES,"The Chicago Bulls are a National Basketball Association team based in Chicago, Illinois.","The Bulls basketball team is not based in Chicago, Illinois."
YES,"Dr. Pridi was forced into exile, and Field Marshal Pibul again assumed power.",Pibul was never a field marshal.
NO,"In Africa today, the majority of infected people acquire HIV by the time they are in their 20s or 30s and, on average, die within ten years.",20-30 percent of people infected with HIV do not live in Africa.
YES,IBM is now at the top of my list of where I want to work. Ivy alone had nine interviews when the team visited the company's headquarters in Armonk last week.,IBM's does not have its headquarters in Armonk.
NO,"Two young soldiers have killed themselves after falling ill with suspected Gulf War Syndrome, following the latest conflict in Iraq.",Many US soldiers did not develop Gulf War Syndrome after the Gulf War.
YES,"On July 8th, the Mozilla team released a configuration change which resolves this problem by explicitly disabling the use of the shell: an external protocol handler.",A shell is not an external protocol handler.
YES,The longest stay in space was 438 days by Valeri Polyakov.,"The record for the longest stay in space, by a human, is not 438 days."
NO,"Immediately after 1990, however, Swedish fertility plummeted in another unique movement, and had fallen to 1.5 children per woman in 1998 and in 1999. This is the lowest birth rate in Sweden ever-although above the European average.",Sweden is not the European country with the highest birth rate.
YES,"As with the Babylonian New Year, the Chinese New Year, which occurred on the 1st of February in 2003, the day before Groundhog Day, is correlated to the beginning of spring.",The Chinese New Year's Day does not fall on the 1st of February in 2003.
NO,"Mr. Balasingham will return to his London home and then move on to Sri Lanka in early October to consult with LTTE leader Vilupillai Prabhakaran, diplomats said.",Vilupillai Prabhakaran is not a diplomat.
NO,"Apart from the new substances entering the market, the phase out of existing ones, which have been definitely identified as damaging the ozone layer, is far from complete.",New substances are not damaging the ozone layer.
NO,"The 26-member International Energy Agency said, Friday, that member countries would release oil to help relieve the U.S. fuel crisis caused by Hurricane Katrina.",The United States has not asked member states of the International Energy Agency to provide oil.
YES,"A mercenary group faithful to the warmongering policy of former Somozist colonel Enrique Bermudez attacked an IFA truck belonging to the interior ministry at 0900 on 26 March in El Jicote, wounded and killed an interior ministry worker and wounded five others.",No interior ministry worker was killed by a mercenary group.
YES,"The British ambassador to Egypt, Derek Plumbly, told Reuters on Monday that authorities had compiled the list of 10 based on lists from tour companies and from families whose relatives have not been in contact since the bombings.",Derek Plumbly does not reside in Egypt.
YES,Tibone estimated diamond production at four mines operated by Debswana -- Botswana's 50-50 joint venture with De Beers -- could reach 33 million carats this year.,Botswana is not a business partner of De Beers.
YES,His wife Strida won a seat in parliament after forging an alliance with the main anti-Syrian coalition in the recent election.,Strida was not elected to parliament.
YES,"Responding to Scheuer's comments in La Repubblica, the prime minister's office said the analysts' allegations, ""beyond being false, are also absolutely incompatible with the contents of the conversation between Prime Minister Silvio Berlusconi and U.S. Ambassador to Rome Mel Sembler.""",Mel Sembler does not represent the U.S.
YES,"At the other side of the country, Linden, N.J. is part of an industrial corridor of chemical plants and oil refineries that some federal officials refer to as ""the most dangerous two miles in America.""",Chemical plants and oil refineries are not located in New Jersey.
YES,"Across the Atlantic, on July 13, a radical Islamic cleric named Ali Al-Timimi was sentenced to life in prison, in Virginia, for soliciting treason.",Ali Al-Timimi is not imprisoned in Virginia.
YES,"Saddam Hussein accepted an 11th-hour offer to flee into exile weeks ahead of the U.S.-led 2003 invasion, but Arab League officials scuttled the proposal, officials in this Gulf state claimed.",Saddam Hussein did not accept exile.
YES,"Mugabe arrived in Beijing on Saturday and toured the northeastern province of Jilin, visiting the headquarters of First Automotive Works Group, China's top vehicle maker.",First Automotive Works Group is not based in China.
YES,"Three days after PeopleSoft bought JD Edwards in June 2003, Oracle began its offer for PeopleSoft.",JD Edwards does not belong to PeopleSoft.
YES,"Salvadoran reporter Mauricio Pineda, a sound technician for the local canal Doce television station, was shot and killed today in Morazan department in the eastern part of the country.",Mauricio Pineda was not killed in Morazan.
YES,The LMI was set up by Mr. Torvalds with John Hall as non-profit organization to license the use of the word Linux.,Mr. Torvalds is not a partner of John Hall.
YES,"Mr. Fitzgerald revealed he was one of several top officials who told Mr. Libby in June 2003 that Valerie Plame, wife of the former ambassador Joseph Wilson, worked for the CIA.",Valerie Plame is not married to Joseph Wilson.
YES,"General Dynamics, the maker of land combat systems, warships and Gulfstream business jets, reported net earnings of $374m in the third quarter, or $1.84 per share, driven by a strong demand for communications and intelligence systems and a booming market in corporate jets.",General Dynamics does not make Gulfstream business jets.
YES,"In the wake of the controversy surrounding the dual citizenship status of Liberian presidential candidate George Oppong Manneh Weah, a Daily Observer investigation has uncovered new developments that may rock the candidacies of three leading candidates, in the race for the Liberian presidency.",George Oppong Manneh Weah is not a politician of Liberia.
YES,"Three leaders of a premier Johnstown tourism event were charged with illegally diverting money to their organization, state police said Wednesday, sending shock waves through the region.",Three leaders of a premier Johnstown tourism event have never been suspected of stealing money.
YES,"On the same day last week that Mahmoud Ahmadi-Nejad, Iran's fundamentalist president, called for Israel to be ""wiped off the map"" at an anti-Zionist conference in Tehran, his first vice-president was attending a different sort of event in Moscow.",Mahmoud Ahmadi-Nejad never attended a conference.
YES,A new chapter has been written into Australia's rich sporting history after the Socceroos qualified for the World Cup finals following their 4-2 win over Uruguay on penalties at the Olympic Stadium in Sydney.,Australia has never qualified for the World Cup finals.
YES,"Wyniemko, now 54 and living in Rochester Hills, was arrested and tried in 1994 for a rape in Clinton Township.",Wyniemko was not accused of rape.
YES,"British Foreign Secretary Jack Straw met yesterday with his Brazilian counterpart, Celso Amorim, to discuss the shooting of 27-year-old Jean Charles de Menezes. In a joint news conference afterward, Mr. Straw promised that Mr. de Menezes's family would get a quick and sympathetic hearing for their compensation claims.",Celso Amorim is not a Brazilian national.
YES,"The travel-weary Los Angeles Angels, running on adrenaline after two all-night flights, opened the AL Championship Series with a 3-2 victory over the well-rested Chicago White Sox on Tuesday night at U.S. Cellular Field.",The Los Angeles Angels did not beat the Chicago White Sox.
YES,"In 1984, Best served two months in jail for drunken driving, and in 2004, he was banned from driving for 20 months after another conviction.",Best was never accused of drunken driving.
YES,"But only one major oil company was shamed by the 623-page report: Texaco, part of Chevron, the US's second largest energy group.",Chevron does not own Texaco.
YES,"""Relative size and the power of the purse are certainly key factors,"" says Samuel L. Husk, executive director of the Council of Great City Schools.",Samuel L. Husk does not work for the Council of Great City Schools.
YES,"""The Calm & the Storm"" is the brainchild of Dave McCool, who got rich when Northern Telecom bought his communications start-up Aptis Communications.",Dave McCool did not sell Aptis Communications.
YES,The Dircote has identified one of the terrorists as Gerardo Olivos Silva through a composite made from witness' reports.,Gerardo Olivos Silva was not recognized as being a terrorist.
YES,"Only a few days ago, ARENA assassins tried to kill the president of the Mortgage Bank, Mr. Mason, for not following their orders.",ARENA assassins did not attack Mason.
YES,"""The Calm & the Storm"" is the brainchild of Dave McCool, who got rich when Northern Telecom bought his communications start-up Aptis Communications.","Dave McCool is not the inventor of ""The Calm & the Storm""."
YES,"For their discovery of ulcer-causing bacteria, Australian doctors Robin Warren and Barry Marshall have received the 2005 Nobel Prize in Physiology or Medicine.",Robin Warren was not awarded a Nobel Prize.
YES,"The bodies of Hector Oqueli, undersecretary of the national revolutionary movement [MNR] of El Salvador, and Gilda Flores, a member of Guatemala's social democratic party, were found in Cuilapa, Guatemala, near the border with El Salvador, the relatives of one of the victims have reported.",Hector Oqueli was not found dead.
YES,"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals.",Jake Peavy is not a player of the San Diego Padres.
YES,"Walter R. Mears, a columnist for The Associated Press, has reported on Washington and national politics for more than 25 years.",Walter R. Mears does not write for The Associated Press.
YES,"Robots using artificial polymer ""muscles"" are real slowpokes, as the polymers react a hundred times slower than human muscle.","Artificial polymer ""muscles"" are not slower than human muscle."
YES,"Mr. Fitzgerald revealed he was one of several top officials who told Mr. Libby in June 2003 that Valerie Plame, wife of the former ambassador Joseph Wilson, worked for the CIA.",Valerie Plame did not work for the CIA.
YES,Prime Minister John Howard says he will not be swayed by a videotaped warning that Australia faces more terrorism attacks unless it withdraws its troops from Iraq and Afghanistan.,Australian troops will not remain in Afghanistan.
YES,"Former Uttar Pradesh minister Amar Mani Tripathi, his wife Madhu Mani and three others are currently in jail in connection with the killing of the poetess.",Madhu Mani is not married to Amar Mani Tripathi.
YES,"From Les Combes, in the Italian Alps, yesterday, where the Pope is on vacation, the Vatican's Press Office Director, Joaquin Navarro Valls, responded with a written statement to the accusations made by the Israeli government against Benedict XVI.",Les Combes is not located in the Italian Alps.
YES,"Peter Clarke, head of the Metropolitan Police anti-terrorist branch, held up the 6.25-litre bucket at a news conference yesterday and appealed to any shopkeepers who might have noticed people buying five or more of the items in recent months.",Peter Clarke does not command the Metropolitan Police anti-terrorist branch.
YES,"ECB spokeswoman, Regina Schueller, declined to comment on a report in Italy's la Repubblica newspaper that the ECB council will discuss Mr. Fazio's role in the takeover fight at its Sept. 15 meeting.",Regina Schueller is not a representative of ECB.
YES,Senator Hill and Foreign Affairs Minister Alexander Downer will host the 20th annual AUSMIN (Australia-United States ministerial consultations) conference at the Adelaide Town Hall.,Alexander Downer will not host a conference.
YES,Thompson's contract with the Dragons has been terminated after he reached an agreement with the club last night.,The Dragons have not terminated Thompson's contract.
YES,"A.C. Milan is in second place with 13 points, after two first-half goals from captain Paolo Maldini earned them a 2-1 victory over Reggina.",A.C. Milan have not played against Reggina.
YES,Japan's Kyodo news agency said the US could be ready to set up a liaison office -- the lowest level of diplomatic representation -- in Pyongyang if it abandons its nuclear program.,The Kyodo news agency is not based in Japan.
YES,"A light blue 1975 Ford Escort GL once owned by Pope John Paul II sold for $690,000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown.","A Ford Escort has never sold for $690,000."
YES,Jewish Agency Chairman Zeev Bielsky believes that the stories about conversion difficulties - such as Jewish soldiers' burial difficulties - that reach former Soviet states have a bad influence on immigration to Israel.,Zeev Bielsky is not the head of the Jewish Agency.
YES,"Since it saw the light of day in 2004, Katamari Damacy has gone on to become one of the biggest cult hits in the history of video games.",Katamari Damacy has not become a big hit.
YES,"The narcotics mafia carries out reprisals against its opponents; the minister of justice, a member of the supreme court, a director of the biggest newspaper Espectador, and, a few days ago, Antonio Roldan Betancur, governor of the department of Antioquia were killed.",Antonio Roldan Betancur has never opposed the narcotics mafia.
YES,"Algerian President Abdelaziz Bouteflika said Wednesday in a statement that ""these cowardly hostage-takers have assassinated our two representatives in Baghdad"" as the Algerian government is doing its utmost to seek their release.",President Abdelaziz Bouteflika does not head the Algerian government.
YES,"Thomas, who captained Wales to the 2005 Grand Slam and skippered the Welsh side against New Zealand in Cardiff last Saturday, now plays for French champions Toulouse.",Thomas does not captain the Welsh side.
YES,"Jane Hali, who runs retail and merchandise consulting at New York-based Coleman Research Group, cited items such as a $14.94 Metro 7 beaded camisole and $28.50 George brocade coat as examples of improvements in apparel since last holiday season.",Coleman Research Group does not provide retail and merchandise consulting.
YES,"Mahmoud al-Zahar, a Hamas leader in Gaza, said so explicitly, dismissing Mr. Abbas's arguments: ""History has proven that the rockets have been in the Palestinian interest"".",Mahmoud al-Zahar is not a member of Hamas.
YES,"The declaration was the first from PepsiCo to damp speculation, after two weeks of press reports and mounting concern from politicians, including French President Jacques Chirac, that Paris-based Danone would be acquired.",Danone headquarters are not located in Paris.
YES,Lt. Jim Bowell of the Butler Township Fire Department said the 4:45 a.m. accident set fire to about 100 yards of woods.,Jim Bowell is not engaged by the Butler Township Fire Department.
YES,"Maricopa County Superior Court Judge Lindsay Ellis also ordered Miss Bickel to pay $5,500 in restitution to Miss Tomazin's family and to perform 40 hours per week of community service indefinitely.",Lindsay Ellis does not occupy a post at the Superior Court.
YES,David McCool took the money and decided to start Muzzy Lane in 2002.,David McCool is not the founder of Muzzy Lane.
YES,"The government repudiates these irrational and criminal actions and the terrorist attack carried out on the 30th of October by the FMLN against the armed forces staff installations, where 1 civilian died and 14 others were wounded. It is evident that these actions are part of a plot whose objective is to block the dialogue initiated by president Alfredo Cristiani.",Civilians were not injured in a terrorist attack.
YES,"Thomas, who captained Wales to the 2005 Grand Slam and skippered the Welsh side against New Zealand in Cardiff last Saturday, now plays for French champions Toulouse.",Thomas does not play for French champions.
YES,"Mugabe arrived in Beijing on Saturday and toured the northeastern province of Jilin, visiting the headquarters of First Automotive Works Group, China's top vehicle maker.",Mugabe is not visiting Beijing.
YES,East Timor's Prime Minister says he expects within two months to announce a deal with Australia on developing a disputed oil and gas field.,East Timor does not expects a deal with Australia.
YES,"Zanzibar, the Indian Ocean island paradise favoured by thousands of tourists each year, was racked by violence yesterday after heavily armed security forces fired teargas and rubber bullets at scores of demonstrators who claimed that elections had been rigged.",Zanzibar is not situated in the Indian Ocean.
YES,"According to the criminal complaint, Van Meeteren operated a business called Mental Health Professionals in International Falls.",Van Meeteren was not the manager of Mental Health Professionals.
YES,The government of El Salvador strongly condemns the terrorist attacks carried out with explosives today against The Committee of Mothers of Political Prisoners and Missing in El Salvador and against The Salvadoran Workers National Union Federation.,The Committee of Mothers of Political Prisoners and Missing was never bombed.
YES,"President Bush said Miers is the most qualified candidate for the job, and Mrs. Bush agreed: ""Absolutely. Absolutely.""",Mrs. Bush does not support Miers.
YES,"The explosion wounded the arm of Beatriz Iero, damaged the doors and walls of the offices, and broke the windows of neighboring buildings.",Beatriz Iero was not injured in an explosion.
YES,Google co-founders Sergey Brin and Larry Page apparently have settled on a Boeing 767 as their personal jet.,Sergey Brin is not a partner of Larry Page.
YES,"Family members told media that Keri Davies, 29, was killed and that his American partner, Kristina Miller, 26, was missing.",Kristina Miller is not an American citizen.
