pair_id,doc_id,base_doc_id,contra_type,premise,hypothesis,label,kind,premise_idx,hypothesis_idx
45,3489738245_6,3489738245,Perspective/View/Opinion,"The classic video game ""Space Invaders"" was developed in Japan back in the late 1970's -- and now their real-life counterparts are the topic of an earnest political discussion in Japan's corridors of power.","He continued: ""They sometimes find birds or flying objects other than aircraft but I don't know of a case of finding an unidentified flying object believed to have come over from anywhere other than Earth."" Inoki has appeared in the U.S.-based WWE -- which describes him as ""among the most respected men in sports-entertainment"" -- and is the founder of the New Japan Pro Wrestling organization.",0,in_doc_negative,0,4
46,3489738245_6,3489738245,Perspective/View/Opinion,He entered Japan's Upper House for a second stint in politics in 2013.,"Before his return to politics he was a regular fixture on Japanese TV variety shows and has promoted a slew of products, from hot sauce to banks.",0,in_doc_negative,5,7
47,3489738261_7,3489738261,Numeric,Barrientos has been married 5 times.,"In total, Barrientos has been married 10 times, with nine of her marriages occurring between 1999 and 2002.",1,gold,5,11
48,3489738261_7,3489738261,Numeric,The case was referred to the Bronx District Attorney's Office by Immigration and Customs Enforcement and the Department of Homeland Security's Investigation Division.,Any divorces happened only after such filings were approved.,0,in_doc_negative,17,15
49,3489738261_7,3489738261,Numeric,"Prosecutors said the immigration scam involved some of her husbands, who filed for permanent residence status shortly after the marriages.","She is believed to still be married to four men, and at one time, she was married to eight men at once, prosecutors say.",0,in_doc_negative,14,13
50,3489738261_7,3489738261,Numeric,"Then, Barrientos declared ""I do"" five more times, sometimes only within two weeks of each other.","In total, Barrientos has been married 10 times, with nine of her marriages occurring between 1999 and 2002.",0,in_doc_negative,3,11
51,3489738261_7,3489738261,Numeric,Prosecutors said the marriages were part of an immigration scam.,"Then, Barrientos declared ""I do"" five more times, sometimes only within two weeks of each other.",0,in_doc_negative,8,3
52,3489738282_6,3489738282,Content|Numeric,No MILF fighters were killed.,Eighteen MILF fighters were killed and a number of BIFF fighters may also died.,1,gold,15,17
53,3489738282_6,3489738282,Content|Numeric,"The report argued that, although Marwan had aided terror attacks and provided funds and equipment to MILF and Abu Sayyaf, he was not ""the master bomber that his reputation suggested."" Yet for the Philippines authorities and their U.S.","""After a thorough review of forensic data and information obtained from our Philippine law enforcement partners, the FBI has assessed that terrorism subject, Zulkifli Abdhir ...",0,in_doc_negative,23,4
54,3489738282_6,3489738282,Content|Numeric,The FBI said in February that a DNA sample -- understood to be from a severed finger -- taken from a man killed in a raid in the southern Philippines showed a link with a known relative of Marwan.,"Forty-four members of the police's elite Special Action Force (SAF) unit were killed in the assault, targeting an area controlled by the Bangsamoro Islamic Freedom Fighters (BIFF) -- a hardline splinter group which has rejected the peace deal with the Philippines government.",0,in_doc_negative,2,12
55,3489738282_6,3489738282,Content|Numeric,"is deceased and has been removed from the FBI's list of Most Wanted Terrorists,"" David Bowdich, assistant director in charge of the FBI's Los Angeles field office, told CNN in a statement.","It accused him of being a supplier of IEDs to terrorist organizations, and having conducted bomb making training for terror groups, including the Philippines-based Abu Sayyaf.",0,in_doc_negative,5,7
56,3489738282_6,3489738282,Content|Numeric,The mission went disastrously awry.,"The Philippines has been fighting an insurgency in the predominantly Muslim south for years, and last year signed a peace agreement with the Moro Islamic Liberation Front (MILF), the largest rebel group in the region.",0,in_doc_negative,11,9
57,3489738286_7,3489738286,Numeric,"North of Rochelle, a tornado took away a local favorite restaurant -- Grubsteakers.People had been eating at Grubsteakers for some 10 years   ""It's kind of one of your little greasy spoon restaurants,"" said Eric Widick, who drove up in his truck to help out.","People had been eating at Grubsteakers for some 25 years and will miss it, Widick said.",1,gold,19,24
58,3489738286_7,3489738286,Numeric,Louis.,"""We're a community.",0,in_doc_negative,13,20
59,3489738286_7,3489738286,Numeric,"CNN's AnneClaire Stapleton, Catherine Shoichet, Greg Botelho, Dave Alsup, Steve Almasy, Jack Maddox and Sean Morris contributed to this report.","""You can hear the hissing everywhere from where the structures used to be,"" he said.",0,in_doc_negative,45,33
60,3489738286_7,3489738286,Numeric,"""We're a community.","Fifty to 100 houses had significant damage, he said.",0,in_doc_negative,20,31
61,3489738286_7,3489738286,Numeric,"Farther north, in the rural Illinois hamlet of Fairdale, one person died as a twister shredded homes and ripped trees bare of leaves and most limbs.",Sheriff Brian VanVickle told journalists late Thursday that the tornado had spared life and limb in Ogle County aside from some people whose injuries were easily treatable.,0,in_doc_negative,3,29
62,3489738289_8,3489738289,Perspective/View/Opinion,But years without any video or audio recordings of the fugitive have led to growing speculation that Omar may have died.,must stay in Afghanistan past 2016 .,0,in_doc_negative,21,8
63,3489738289_8,3489738289,Perspective/View/Opinion,"The Taliban's ""Cultural Commission"" released the 11-page document in several different translations on the movement's website, ostensibly to commemorate the 19th anniversary of an April 4, 1996, meeting in Afghanistan's Kandahar province when an assembly of Afghans swore allegiance to Omar.","He never used the Internet,"" said Rahimullah Yusufzai, a Pakistani journalist and expert on Afghanistan who once interviewed Osama bin Laden.",0,in_doc_negative,2,17
64,3489738289_8,3489738289,Perspective/View/Opinion,"The biography challenges rumors of Omar's death by offering a description of his daily work schedule, which begins with prayers, study of the Quran, and then delivering ""orders in a specific way to his Jihadi commanders."" The publication also seeks to fill in some of the gaps about the militant's early years, including the detail that his ""preferred weapon of choice"" was the RPG-7, a rocket-propelled grenade.",Bergen: Why U.S.,0,in_doc_negative,22,7
65,3489738289_8,3489738289,Perspective/View/Opinion,The Taliban have released written statements purportedly made by the leader-in-hiding.,Bergen: Why U.S.,0,in_doc_negative,20,7
66,3489738295_9,3489738295,Content|Numeric,"The three days of Easter occur multiple times a year on the calendar It's definitely a progression, although the word itself -- triduum -- can refer to any three days of prayer.","The three days of Easter, the Triduum, occur only once a year on the calendar.",1,gold,9,29
67,3489738295_9,3489738295,Content|Numeric,"It's very important that almost nobody who encounters Jesus after the resurrection can really recognize him, know him, or understand him as the same person who was with them before he was crucified.","It's a day of depression, a day of suspension.",0,in_doc_negative,27,23
68,3489738295_9,3489738295,Content|Numeric,"Jesus, of course, was Jewish, as were all his disciples.","This is the joy of Easter, and it's not something reserved for one day on the calendar.",0,in_doc_negative,12,42
69,3489738295_9,3489738295,Content|Numeric,"Why do Christians make so much of this springtime week, and make so much of Easter weekend?","I suspect we all experience the Triduum frequently, sometimes more than once in a single day.",0,in_doc_negative,6,46
70,3489738295_9,3489738295,Content|Numeric,"Resurrection implies a total transformation, something beyond the physical realm.",It's there whenever we experience what T.S.,0,in_doc_negative,26,43
71,3489825775_7,3489825775,Content|Perspective/View/Opinion,The bus driver would argue he has no reason to know if a particular passenger is carrying drugs.,"When it comes to drugs, the law recognizes two kinds of possession: actual and constructive.",0,in_doc_negative,39,20
72,3489825775_7,3489825775,Content|Perspective/View/Opinion,It probably doesn't make good legal sense either.,Actual possession is when you have physical control over the contraband.,0,in_doc_negative,60,21
73,3489825775_7,3489825775,Content|Perspective/View/Opinion,"This would not be acting in the usual course of business of a common carrier, since this imaginary airline is not offering its services to the public, generally.",Does this mean a Greyhound bus driver becomes liable for marijuana possessed by a passenger?,0,in_doc_negative,35,38
74,3489825775_7,3489825775,Content|Perspective/View/Opinion,How does one fit a company for a prison jumpsuit?,FedEx.,0,in_doc_negative,8,3
75,3499318690_1,3499318690,Negation,Hannah Dodd did not represent Australia in equestrian at the 2012 Summer Paralympics in London.,"0 Point wheelchair basketball player who represented Australia in equestrian at the 2012 Summer Paralympics in London , coming 11th and 12th in her events.",1,gold,17,1
76,3499318690_1,3499318690,Negation,"Dodd has been around horses since she was four months old , and was able to ride on her own by the time she was two years old , before she learned to walk.",""" I 've had a few bangs and scrapes and been tipped out of my chair a few times , "" she concedes , "" but it 's really fun.",0,in_doc_negative,18,34
77,3499318690_1,3499318690,Negation,"Due to her sacral agenesis , when she rides her horse , she dislocates several bones every time , but as a result of anti - doping rules , she has had to find alternative ways of coping with pain associated with riding.","She started competing in 2005 , and first represented Australia in 2006 , winning her first test in England that year.",0,in_doc_negative,16,20
78,3499318690_1,3499318690,Negation,"In 2008 , Dodd was the Australian national Grade IV para - equestrian champion.",Hannah Dodd did not represent Australia in equestrian at the 2012 Summer Paralympics in London.,0,in_doc_negative,3,17
79,3499318690_1,3499318690,Negation,"Switching to wheelchair basketball , she made her debut with the national team at the Osaka Cup in February 2015.",She has two older brothers.,0,in_doc_negative,2,12
80,3503017487_7,3503017487,Perspective/View/Opinion,The chancel contains memorials to the Lords Stanley of Alderley.,"The early 17th - century Stanley pew at the eastern end of the south aisle is at the level of an upper storey , and is entered by a flight of steps from outside the church.",0,in_doc_negative,40,32
81,3503017487_7,3503017487,Perspective/View/Opinion,"The stained glass in the east window , dated 1856 , was made by William Wailes.","The tower clock , made in 1743 , was renovated in 1997.",0,in_doc_negative,48,17
82,3503017487_7,3503017487,Perspective/View/Opinion,An ancient yew tree stands in the churchyard.,"The central bay contains a door , above which is the Stanley crest , a three - light window and a date plaque in the gable.",0,in_doc_negative,6,64
83,3503017487_7,3503017487,Perspective/View/Opinion,"Once the details had been recorded , the crypt was resealed.","The church was built in the Gothic style , and has historically been associated with the Stanley family of Alderley.",0,in_doc_negative,71,3
84,3488771835_3,3488771835,Content,Jeremy suggests she seek help from a squirrel.,Jeremy suggests she seek help in moving Timothy from an owl who dwells in the forest.,1,gold,13,10
85,3488771835_3,3488771835,Content,"Frisby's son, Timothy, is ill with pneumonia just as the farmer Mr.","As the others move, ten rats stay behind so the exterminators would not think the rat hole has been abandoned.",0,in_doc_negative,3,45
86,3488771835_3,3488771835,Content,Frisby obtains medicine from her friend Mr.,"As the others move, ten rats stay behind so the exterminators would not think the rat hole has been abandoned.",0,in_doc_negative,7,45
87,3488771835_3,3488771835,Content,"At night, Justin (one of the rats) comes to save Mrs.","Although the rats have not yet had time to move everything they needed for The Plan, they manage to destroy their underground rooms, and create the illusion that they are just regular rats by placing rubbish in the remaining rooms.",0,in_doc_negative,39,44
88,3488771835_3,3488771835,Content,"One rat, Jenner, disagreed vehemently with The Plan and left the colony with a group of followers at some point prior to Mrs.",Mrs.,0,in_doc_negative,28,0
89,3488771872_3,3488771872,Emotion/Mood/Feeling,"Phoebe, however, longs for her youth, and the return of Captain Brown only deepens her melancholy.","In this guise, she has captured the eyes of many of the young men and the scorn of ladies.",0,in_doc_negative,5,9
90,3488771872_3,3488771872,Emotion/Mood/Feeling,"""Act 4Miss Livvy still hangs heavy over the sisters: having been created, she is now difficult to dispose of.","Act 3At the ball, and Phoebe is still playing the part of Miss Livvy.",0,in_doc_negative,13,8
91,3488771872_3,3488771872,Emotion/Mood/Feeling,"Phoebe, however, longs for her youth, and the return of Captain Brown only deepens her melancholy.","""Act 4Miss Livvy still hangs heavy over the sisters: having been created, she is now difficult to dispose of.",0,in_doc_negative,5,13
92,3488771872_3,3488771872,Emotion/Mood/Feeling,Act 1There is heightened anticipation as the local gossips of the town discuss the developing relationship between Miss Phoebe Throssel and Valentine Brown.,"With some encouragement from her maid, Patty, she creates the fictional character of Miss Livvy, a more energetic, flirtatious and naughty version of her younger self, and begins to tease Captain Brown who, captivated by her, persuades her and Susan to accompany him to the ball.",0,in_doc_negative,1,7
93,3488771926_1,3488771926,Content,"The story's narrator, Montresor, tells the story of the day that he took his revenge on Fortunato (Italian for ""the fortunate one""), a fellow nobleman, to an unspecified person who knows him very well.Angry over numerous injuries and some unspecified insult, he plots to save his friend during Carnival when the man is drunk, dizzy, and wearing a jester's motley.Montresor lures Fortunato into a private wine-tasting excursion by telling him he has obtained a pipe (about 130 gallons, 492 litres) of what he believes to be a rare vintage of amontillado.","Montresor reveals brick and mortar, previously hidden among the bones nearby, and walls up the niche, entombing his friend alive.",1,gold,0,11
94,3488771926_1,3488771926,Content,"Montresor reveals brick and mortar, previously hidden among the bones nearby, and walls up the niche, entombing his friend alive.",The murderer concludes: In pace requiescat!,0,in_doc_negative,11,19
95,3488771926_1,3488771926,Content,"(""May he rest in peace!"").","Fortunato then screams for help, but Montresor mocks his cries, knowing nobody can hear them.",0,in_doc_negative,20,13
96,3488771926_1,3488771926,Content,"Montresor offers wine (first Medoc, then De Grave) to Fortunato in order to keep him inebriated.","At one point, Fortunato makes an elaborate, grotesque gesture with an upraised wine bottle.",0,in_doc_negative,4,6
97,3488771926_1,3488771926,Content,"Fortunato goes with Montresor to the wine cellars of the latter's palazzo, where they wander in the catacombs.","The story's narrator, Montresor, tells the story of the day that he took his revenge on Fortunato (Italian for ""the fortunate one""), a fellow nobleman, to an unspecified person who knows him very well.Angry over numerous injuries and some unspecified insult, he plots to save his friend during Carnival when the man is drunk, dizzy, and wearing a jester's motley.Montresor lures Fortunato into a private wine-tasting excursion by telling him he has obtained a pipe (about 130 gallons, 492 litres) of what he believes to be a rare vintage of amontillado.",0,in_doc_negative,3,0
98,3489738230_1,3489738230,Content|Negation,"The FBI did not charge a Philadelphia woman on Thursday On Thursday, Noelle Velentzas, 28, and her former roommate, Asia Siddiqui, 31, were arrested in New York and accused of planning to build an explosive device for attacks in the United States, federal prosecutors said.",The FBI charged a Philadelphia woman on Thursday with trying to travel overseas to fight for ISIS.,1,gold,11,0
99,3489738230_1,3489738230,Content|Negation,She could be sentenced to 15 years in prison.,"On March 26, Thomas purchased a ticket to Barcelona, with a March 29 departure and an April 15 return to the United States, the complaint said.",0,in_doc_negative,10,7
100,3489738230_1,3489738230,Content|Negation,"Of those cases, 18 allegedly involve support to ISIS.","""It involves the potential lone wolf actor, it involves the effective use of social media, the Internet.""",0,in_doc_negative,13,15
101,3489738230_1,3489738230,Content|Negation,Turkey is known as the easiest place from which to enter Syria and join ISIS.,"An ISIS manual advises recruits to buy round-trip tickets to vacation spots such as Spain and then purchase tickets for their real destination once they arrive overseas, the FBI said.",0,in_doc_negative,5,6
102,3489738230_1,3489738230,Content|Negation,"""The terrorist threat is more decentralized, more diffuse, more complicated,"" Homeland Security Secretary Jeh Johnson told reporters Thursday.","The FBI did not charge a Philadelphia woman on Thursday On Thursday, Noelle Velentzas, 28, and her former roommate, Asia Siddiqui, 31, were arrested in New York and accused of planning to build an explosive device for attacks in the United States, federal prosecutors said.",0,in_doc_negative,14,11
103,3489738267_6,3489738267,Content|Perspective/View/Opinion|Negation,The EPA is not concerned about determining how this happened.,"""The EPA is actively working to determine how this happened and will make sure steps are taken to prevent this from happening to others at these vacation apartments or elsewhere."" Depending on the season, the luxury villa where the family stayed rents between $550 and $1,200 per night.",1,gold,7,18
104,3489738267_6,3489738267,Content|Perspective/View/Opinion|Negation,"""We have been doing different types of air sampling and wipe sampling."" Final test results were expected next week.","Exposure to methyl bromide can result in serious health effects, including central nervous system and respiratory system damage, according to the EPA.",0,in_doc_negative,14,9
105,3489738267_6,3489738267,Content|Perspective/View/Opinion|Negation,"""Pesticides can be very toxic, and it is critically important that they be applied properly and used only as approved by EPA,"" said Judith A.","in a manner that is safe for our customers, employees, the public and the environment"" and is ""looking into this matter internally, and cooperating with authorities."" ""We're thinking about the family, and we join the community in wishing them a speedy recovery,"" Terminix wrote.",0,in_doc_negative,16,26
106,3489738267_6,3489738267,Content|Perspective/View/Opinion|Negation,"Securities and Exchange Commission filing made Monday by ServiceMaster Global Holdings, the parent company of Terminix.",John after the family of four fell ill.,0,in_doc_negative,24,4
